1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GarageYrBlt,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,HouseAge,LivingLotRatio,FinishedBsmtRatio,OverallScore,HasPorch,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,GarageFinish_RFn,GarageFinish_Unf,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA
0.5268727056737996,-0.7670329843490966,5.0,0.8652825747742945,-0.4002816450561325,-0.8638372713165864,0.1923920760663454,-0.2925842646917212,-0.167025648040381,0.144139785038189,-0.8278152598132056,-1.096168527820981,0.3722173008560347,-0.8204445578548297,0.3746501541840029,53,53,1972,-0.3512524293255852,0.6294565727437242,-0.3053836588267475,0,False,False,True,False,False,False,True,False,True,False,False,False,True
-1.040594901605719,0.99568042900025,5.0,-1.4164286094888077,0.5119196948362164,-0.4562639668430008,0.2722249243431922,0.2505972449981404,-0.3013097979904927,-0.3929210342705357,-0.8278152598132056,0.6174194203689451,1.2686086563196408,-0.0889336848972411,-0.0699453265965105,17,16,2008,0.3586671807868439,-1.522951983355405,-0.1128220424990434,1,False,False,True,False,False,False,False,True,True,False,False,False,True
-1.0524445733109484,-0.7670329843490966,6.0,-1.4164286094888077,0.505195852036027,-2.2571692656797744,-4.147410259427792,-1.8162419502798304,-0.0820460349058602,0.006402305423963,-0.8278152598132056,-1.096168527820981,1.2686086563196408,-0.8204445578548297,-0.0733063596822412,100,60,1925,-1.9785762896002828,-1.5284755909224983,-1.0408230681249773,0,False,False,True,False,False,False,False,True,False,False,False,False,True
-0.3940926024686641,1.029930041953929,5.0,0.7042063808532661,-0.9157762597373124,-1.119755392730233,0.1524756519279221,0.609851000899366,-0.465399731892217,-0.3401855731579793,1.2762907572085922,-1.096168527820981,1.2686086563196408,-0.8204445578548297,-0.1494131903458327,73,60,1952,1.140760746450676,0.8279065380047256,-1.0408230681249773,0,False,False,True,False,False,False,False,False,False,True,False,True,False
-0.2527755098805173,0.7513665232640063,5.0,0.384534040413162,0.5320912232367843,-0.7974881287278631,0.1192119651459026,0.4744355300655321,-1.171175573244706,-0.9114251254827064,-0.8278152598132056,-1.096168527820981,0.3722173008560347,-0.8204445578548297,0.1535112473101025,86,60,1939,-2.7716310281449874,0.3333595934238744,-0.3053836588267475,0,False,False,True,False,False,True,False,False,False,True,False,True,False
-0.6866800888465722,-0.7670329843490966,5.0,0.8549877435085285,-1.2788637709475348,0.3588826421041703,0.2323085002047688,-1.4633680374283384,0.1313539215987079,0.144139785038189,-0.8278152598132056,-1.096168527820981,1.2686086563196408,-0.8204445578548297,0.0304388380288061,38,38,1987,-1.2934661819711233,0.8297316754326637,-1.0408230681249773,0,False,False,True,False,False,False,False,False,False,True,False,False,True
-1.5300707775659743,1.2331444121457578,5.0,-1.4164286094888077,0.2541723874956264,-0.361479477430539,0.2988358737688077,0.2292303427312775,0.5089643177790679,1.8972913781145333,-0.8278152598132056,0.5943426488828049,-0.5241740546075712,-0.0889336848972411,-0.2087799419929393,5,5,2020,0.151912367993343,-1.7901828892666518,0.046616730203779,1,False,False,False,False,False,False,False,True,False,False,False,True,False
-1.0524445733109484,0.0503911114787091,5.0,0.7896227261172705,-1.1421456340103524,-1.119755392730233,0.1147768069083,-0.6873496578099906,-1.0093588080515428,-1.6077462694425837,-0.8278152598132056,1.014782722997907,2.165000011783247,-1.5519554308124182,-0.0733063596822412,88,3,1937,73.44414523991476,0.8520860527827866,-3.3599835259959594,1,False,False,True,True,False,False,False,False,False,True,False,True,False
0.7758187166618127,-0.7670329843490966,5.0,0.7151643434044755,0.0793524746907044,0.4726240293991244,0.2456139749175766,-0.0524118129711755,0.5378376629409416,0.4847747636203431,1.2072623221705694,-1.096168527820981,0.3722173008560347,-0.0889336848972411,0.4452610369413838,29,29,1996,-0.034081499129722,0.4948340300642041,-0.0331026561476322,0,False,False,True,False,False,False,False,False,False,False,False,True,False
0.935712410994622,-0.7670329843490966,8.0,-1.4164286094888077,2.0740925054135317,-0.0107768666044305,0.3032710320064103,0.1018467767935563,0.0002051269047508,0.4029645694311075,1.0539816900225785,1.1534389196788315,-0.5241740546075712,1.374088061017936,0.4906131791965259,3,3,2022,0.1018258895640066,-0.9502321791172508,-0.7202613103316272,1,False,False,False,False,False,False,False,True,False,False,False,True,False
